id,original_language,original_title,popularity,release_date,genre,overview,revenue,runtime,tagline
9069,en,The Operative,10.142,7/24/2019,"['Drama', 'Thriller']",A young Western woman is recruited by the Mossad to go undercover in Tehran where she becomes entangled in a complex triangle with her handler and her subject.,0,120,Every secret has a price.
2603,ja,デスノート the Last name,28.346,10/28/2006,"['Fantasy', 'Thriller', 'Mystery']","In the second installment of the Death Note film franchise, Light Yagami meets a second Kira and faithful follower Misa Amane and her Shinigami named Rem. Light attempts to defeat L along with Teru Mikami (a Kira follower) and Kiyomi Takada (another Kira follower) but in the end will Light win? or will a Shinigami named Ryuk make all the difference in Light's victory or his ultimate death?",50710400,141,The last name to be written in the DEATH NOTE... Whose name will it be?
7738,fr,Sibyl,13.098,5/24/2019,"['Drama', 'Comedy']","Sibyl, a jaded psychotherapist, returns to her first passion: writing. But her newest patient Margot, a troubled up-and-coming actress, proves to be a source of inspiration that is far too tempting. Fascinated almost to the point of obsession, Sibyl becomes more and more involved in Margot’s tumultuous life, reviving volatile memories that bring her face to face with her past.",0,100,
1579,en,Teen Titans Go! To the Movies,42.672,7/27/2018,"['Animation', 'Action', 'Comedy', 'Science Fiction']","All the major DC superheroes are starring in their own films, all but the Teen Titans, so Robin is determined to remedy this situation by getting over his role as a sidekick and becoming a movie star. Thus, with a few madcap ideas and an inspirational song in their hearts, the Teen Titans head to Hollywood to fulfill their dreams.",28646544,85,The superhero movie to end all superhero movies. Hopefully.
5058,en,The Crush,20.728,4/2/1993,"['Drama', 'Thriller']",A precocious and obsessive teenager develops a crush on a naive writer with harrowing consequences.,13609396,89,He thought it was just a crush. He was dead wrong.
5753,en,Grave Encounters 2,17.186,10/12/2012,['Horror'],"Tortured by the ghosts of the demonized insane asylum that killed the crew of GRAVE ENCOUNTERS, film students fight to escape death as their own paranormal investigation goes terribly wrong in this horrifying sequel.",0,95,Fear is just a word. Reality is much worse.
3548,en,Flag Day,24.541,8/20/2021,"['Drama', 'Thriller']","A father lives a double life as a counterfeiter, bank robber and con man in order to provide for his daughter.",0,108,Loving his daughter was the only honest work he ever did.
409,en,Dead Like Me: Life After Death,96.973,2/17/2009,"['Drama', 'Fantasy', 'Comedy']","When George and her colleagues get a new boss whose focus is on moving souls quickly and enjoying life without consequences, the team begins to break the strict reaper rules. While her friends fall victim to their desires for money, success, and fame, George breaks another rule by revealing her true identity to her living family.",0,87,
4097,en,Redcon-1,18.749,9/7/2018,"['Action', 'Horror']","After a zombie apocalypse spreads from a London prison, the UK is brought to its knees. The spread of the virus is temporarily contained but, without a cure, it’s only a matter of time before it breaks its boundaries and the biggest problem of all… any zombies with combat skills are now enhanced. With the South East of England quarantined from the rest of the world using fortified borders, intelligence finds that the scientist responsible for the outbreak is alive and well in London. With his recovery being the only hope of a cure, a squad of eight Special Forces soldiers is sent on a suicide mission to the city, now ruled by the undead, with a single task: get him out alive within 72 hours by any means necessary. What emerges is an unlikely pairing on a course to save humanity against ever-rising odds.",0,117,War Has Just Evolved.
6461,en,Jackass 3.5,16.673,5/12/2011,"['Comedy', 'Documentary', 'Action']","Johnny Knoxville of 'Jackass' releases unused material of stunts, tricks, antics and shenanigans shot during the production of 'Jackass 3D' that didn't make it into the film, as well as the hilarious outtakes.",0,85,"Warning: The stunts in this movie were performed by professionals, so neither you or your dumb little buddies should attempt anything from this movie."
5601,en,DuckTales: The Movie - Treasure of the Lost Lamp,14.493,8/3/1990,"['Adventure', 'Animation', 'Family', 'Comedy', 'Fantasy']","With his nephews and niece, everyone's favorite rich uncle, Scrooge McDuck, treks from his mansion home in Duckburg in search of the long-lost loot of the thief Collie Baba. But finding the goods isn't quite what it's ""quacked"" up to be! Their thrilling adventure leads to comical chaos, magical mayhem, and a lesson about what is far more valuable than money, gold and jewels.",18115724,74,
5231,en,Escape from New York,17.854,5/23/1981,"['Science Fiction', 'Action']","In the future, crime is out of control and New York City's Manhattan is a maximum security prison. Grabbing a bargaining chip right out of the air, convicts bring down the President's plane in bad old Gotham. Gruff Snake Plissken, a one-eyed lone warrior new to prison life, is coerced into bringing the President, and his cargo, out of this land of undesirables.",50244700,99,1997. New York city is now a maximum security prison. Breaking out is impossible. Breaking in is insane
3777,en,The Disaster Artist,18.814,3/12/2017,"['Comedy', 'Drama']","An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.",29820616,104,"I did naaaht! Oh, hi Mark"
2726,en,Immortals,25.394,11/10/2011,"['Fantasy', 'Action', 'Drama']","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",226904017,110,The Gods need a hero.
477,en,Batman: Death in the Family,107.95,10/13/2020,"['Animation', 'Action']",Tragedy strikes the Batman's life again when Robin Jason Todd tracks down his birth mother only to run afoul of the Joker. An adaptation of the 1988 comic book storyline of the same name.,0,96,The fate of Gotham is in your hands.
1329,en,Jeepers Creepers 3,41.748,9/26/2017,"['Horror', 'Mystery', 'Thriller']","Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.",3600000,100,Third Time's the Charm
4035,fr,Le Chant du loup,22.044,2/20/2019,"['Thriller', 'Action']","With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem—or sound—using only his ears.",12652790,115,
9642,ja,東京ゴッドファーザーズ,14.491,12/29/2003,"['Animation', 'Drama']","During a Christmas Eve in Tokyo, three homeless people, middle-aged alcoholic Gin, former drag queen Hana, and dependent runaway girl Miyuki, discover an abandoned newborn while looking through the garbage. With only a handful of clues to the baby's identity, the three misfits search the city to find its parents.",0,93,Meet the ultimate dysfunctional family.
1777,en,Rogue One: A Star Wars Story,41.013,12/14/2016,"['Action', 'Adventure', 'Science Fiction']",A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,1056057273,133,A Rebellion Built on Hope
6096,en,Hot Tub Time Machine 2,14.546,2/20/2015,['Comedy'],"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",64780213,93,The Laws of Space and Time are About to be Violated.
751,en,Lilo & Stitch,74.064,6/21/2002,"['Animation', 'Family']","As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and 'ohana, the Hawaiian tradition of family.",273144151,85,There's one in every family.
5792,en,Silhouette,14.419,1/28/2019,"['Horror', 'Drama', 'Thriller']","Silhouette is the story of Jack and Amanda Harms who, after the passing of their young daughter, set out into seclusion to begin their lives anew. Quickly upon their arrival, things go awry when the sins of their past come back to haunt them.",0,114,This will hurt.
4060,en,The Pink Panther,18.762,2/10/2006,"['Comedy', 'Family', 'Mystery', 'Crime', 'Adventure', 'Action']","When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game, and his expensive and huge ring with the diamond Pink Panther disappears, the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case.",158851357,93,Pardon His French.
9041,en,The Car,9.126,5/12/1977,['Horror'],"The film is set in the fictional Utah community of Santa Ynez, which is being terrorized by a mysterious black coupe that appears out of nowhere and begins running people down. After the car kills off the town's Sheriff, it becomes the job of Captain Wade Parent to stop the murderous driver.",0,96,What evil drives...
6030,en,My Hero Academia,17.816,,[],A live action adaptation of the popular manga franchise.,0,0,
5898,en,Ferris Bueller's Day Off,18.068,6/11/1986,['Comedy'],"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.",70136369,103,One man's struggle to take it easy.
9338,en,Inside Deep Throat,13.569,2/11/2005,"['History', 'Documentary']","In 1972, a seemingly typical shoestring budget pornographic film was made in a Florida hotel, ""Deep Throat,"" starring Linda Lovelace. This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. It caught the public imagination which met the spirit of the times, even as the self appointed guardians of public morality struggled to suppress it, and created, for a brief moment, a possible future where sexuality in film had a bold artistic potential. This film covers the story of the making of this controversial film, its stunning success, its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star.",653621,90,It was filmed in 6 days for 25 thousand dollars. The government didn't want you to see it. It was banned in 23 states. It has grossed over 600 million dollars. And it is the most profitable film in motion picture history.
9160,en,Regression,10.116,10/1/2015,"['Horror', 'Mystery', 'Thriller', 'Crime']","Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to help him relive his memories and what they discover unmasks a horrifying nationwide mystery.",17671101,106,Fear always finds its victim
9996,en,El cantante,10.417,9/12/2006,"['History', 'Drama', 'Music']","The rise and fall of salsa singer, Héctor Lavoe (1946-1993), as told from the perspective of his wife Puchi, who looks back from 2002.",0,116,"Based on the true story of the King of Salsa, Hector Lavoe"
5151,en,Pete's Dragon,18.687,11/3/1977,"['Fantasy', 'Animation', 'Comedy', 'Family']","Pete, a young orphan, runs away to a Maine fishing town with his best friend a lovable, sometimes invisible dragon named Elliott! When they are taken in by a kind lighthouse keeper, Nora, and her father, Elliott's prank playing lands them in big trouble. Then, when crooked salesmen try to capture Elliott for their own gain, Pete must attempt a daring rescue.",0,128,Brazzle Dazzle Brilliance!
468,en,Stan Helsing,87.419,10/27/2009,"['Comedy', 'Horror']","It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",0,90,The most feared monsters in cinematic history have met their match...
1545,en,American Pie Presents: Band Camp,47.32,10/30/2005,['Comedy'],"Everyone has 'moved on', except for Sherman and Jim Levenstein's still understanding father. Little Matt Stiffler wants to join his older brother Steve's business and, after everything Matt has heard from Jim's band-geek wife, he plans to go back to band camp and make a video of his own.",0,94,This One Time at Band Camp...
6311,pt,In Mezzo Alle Terre,20.664,11/9/2021,[],,0,0,
2683,ko,올드보이,25.644,11/21/2003,"['Drama', 'Thriller', 'Mystery', 'Action']","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",14980005,120,"Laugh, and the world laughs with you. Weep, and you weep alone."
8966,en,The Beautician and the Beast,9.886,2/7/1997,"['Comedy', 'Romance']",The story follows the misadventures of a New York City beautician who is mistakenly hired as the school teacher for the children of the president of a small Eastern European country.,11486880,105,Once upon a time...
