id,original_language,original_title,popularity,release_date,genre,overview,revenue,runtime,tagline
6252,en,Testament of Youth,11.988,10/14/2014,"['History', 'Drama', 'War']","Testament of Youth is a powerful story of love, war and remembrance, based on the First World War memoir by Vera Brittain, which has become the classic testimony of that war from a woman’s point of view. A searing journey from youthful hopes and dreams to the edge of despair and back again, it’s a film about young love, the futility of war and how to make sense of the darkest times.",1822250,129,Divided by war. United by love.
4684,en,The Secret Life of Pets,22.223,6/18/2016,"['Adventure', 'Comedy', 'Animation', 'Family']","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",875457937,87,Think this is what they do all day?
1731,en,How to Be a Latin Lover,40.548,3/6/2017,['Comedy'],An aging Latin lover gets dumped by his sugar mama and must fend for himself in a harsh world.,26251899,115,Fifty shades grayer
4742,en,The Assassination of Jesse James by the Coward Robert Ford,17.125,9/7/2007,"['Action', 'Drama', 'Western']","Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",14711793,160,Beyond the myth lies America's greatest betrayal
4521,en,"I, Daniel Blake",15.494,10/21/2016,['Drama'],"A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",15793051,100,
6340,en,Westworld,14.555,8/15/1973,"['Adventure', 'Science Fiction', 'Western']","In a futuristic resort, wealthy patrons can visit recreations of different time periods and experience their wildest fantasies with life-like robots. But when Richard Benjamin opts for the wild west, he gets more than he bargained for when a gunslinger robot goes berserk.",0,85,Where robot men and women are programmed to serve you for ...Romance ...Violence ...Anything.
576,fr,L'Immortel,82.973,3/23/2010,"['Drama', 'Crime', 'Thriller']","Charly Matteï has turned his back on his life as an outlaw. For the last three years, he's led a peaceful life devoting himself to his wife and two children. Then, one winter morning, he's left for dead in the parking garage in Marseille's Old Port, with 22 bullets in his body. Against all the odds, he doesn't die...",0,117,The revenge of the Professional.
5202,es,"Odio, de Dani Rovira",17.354,2/12/2021,['Comedy'],An uncensored monologue by Dani Rovira about today's society.,0,82,
6363,en,Waves,13.724,11/15/2019,"['Romance', 'Drama']",A controlling father’s attempts to ensure that his two children succeed in high school backfire after his son experiences a career-ending sports injury. Their familial bonds are eventually placed under severe strain by an unexpected tragedy.,1740683,136,Love is patient.
439,en,We Bare Bears: The Movie,111.927,6/30/2020,"['Family', 'Animation', 'Adventure', 'Comedy', 'TV Movie']","When Grizz, Panda, and Ice Bear's love of food trucks and viral videos get out of hand, the brothers are now chased away from their home and embark on a trip to Canada, where they can live in peace.",0,69,We Bare Bears: The Movie
