,vote_average
9069,5.7
2603,6.9
7738,5.7
1579,7.4
5058,6.3
5753,5.6
3548,5.8
409,6.2
4097,5.6
6461,6.3
5601,6.8
5231,7.1
3777,7.1
2726,5.9
477,7.3
1329,4.8
4035,7.6
9642,7.9
1777,7.5
6096,5.2
751,7.5
5792,5.3
4060,5.9
9041,6.3
6030,0.0
5898,7.7
9338,6.7
9160,5.5
9996,7.0
5151,6.4
468,4.2
1545,5.5
6311,0.0
2683,8.3
8966,6.7
6181,6.4
1025,6.2
5112,6.7
8562,7.2
5368,7.2
2354,6.8
7278,6.2
3602,0.0
773,7.0
6773,7.1
8809,6.0
3382,6.6
641,7.5
4233,6.0
3815,6.4
4104,7.2
9925,6.3
1108,7.9
3527,4.9
3495,7.0
1420,5.5
6923,6.6
3881,7.0
8353,6.1
6245,7.7
4938,6.0
6798,6.1
7812,7.1
1680,6.8
6715,6.6
633,7.7
2569,8.0
7359,6.8
2166,7.0
8169,5.8
8845,6.0
2825,4.5
4087,3.5
6243,6.3
8364,8.2
3941,8.3
9179,7.6
8075,6.2
9195,6.3
4128,7.6
1172,6.9
8668,5.8
4222,6.0
4834,7.4
2576,8.3
1989,7.9
6973,4.3
5836,6.5
4532,6.3
3209,6.7
3855,6.4
2628,5.9
7803,6.0
1410,6.9
8257,6.8
7386,7.5
4303,6.4
6750,5.9
6555,6.3
815,6.9
2404,6.6
5397,7.5
9956,5.8
2131,6.7
1797,6.2
3090,0.0
4184,5.8
4564,5.6
5030,4.4
8048,6.8
122,7.7
179,6.3
9250,4.7
8095,7.7
6429,6.5
9737,5.9
4992,0.0
1157,7.8
9003,7.4
1532,7.8
8992,7.0
7859,5.5
9110,6.2
1535,6.3
9259,6.4
5517,7.5
2605,7.5
6127,7.1
9141,7.7
7458,6.8
2177,6.4
7990,8.4
2351,6.3
9177,5.7
3502,7.9
2134,7.2
1480,7.0
2793,6.7
4843,5.8
9780,4.3
9934,7.0
4762,7.0
7191,6.2
6041,5.5
9636,5.9
3445,7.2
8149,6.4
7765,6.1
3620,6.7
1952,7.0
555,6.7
4264,7.5
1163,7.1
1584,6.9
6151,6.8
9720,4.1
5837,8.6
5261,7.5
5239,5.9
7913,4.1
9162,5.9
1598,7.3
7182,4.2
300,7.7
9660,7.7
6947,5.3
3794,6.6
4572,7.5
4335,6.0
2858,7.2
5694,6.7
3142,6.2
1359,6.7
4533,7.3
9749,7.1
5687,8.1
486,7.0
7836,8.1
9554,5.9
5900,6.7
8116,7.5
7362,6.1
1152,6.5
5382,7.1
9741,0.0
5424,7.6
8807,7.5
5186,5.9
8409,8.1
6189,7.7
9702,7.0
8269,6.9
5314,5.2
9903,6.1
665,3.7
3353,7.4
8851,6.2
8061,5.4
642,7.0
9242,0.0
176,4.7
6431,5.5
9910,6.4
3438,7.3
786,6.0
6391,8.7
9065,5.8
9927,7.1
3202,6.7
4803,6.9
7835,6.4
7940,5.8
91,7.9
5762,5.9
9027,6.9
9504,4.3
8237,6.7
1971,5.4
2905,8.4
530,6.2
3635,6.2
996,6.8
5852,7.5
4226,5.8
5616,7.5
2312,6.2
2154,7.4
5317,6.2
1427,7.2
8630,7.0
6032,5.6
4415,6.0
8818,7.2
3085,6.9
7798,7.5
9153,6.4
8209,4.6
9573,6.0
9534,6.1
495,5.2
3749,6.3
2321,0.0
4267,6.5
3405,5.6
151,5.6
7369,4.6
694,6.4
4417,6.5
5697,6.8
1738,5.9
3001,7.0
167,8.3
6111,0.0
4622,7.2
2865,6.4
8544,0.0
4702,6.2
2883,6.0
3031,6.7
8183,7.4
8980,6.9
8528,5.2
5681,7.3
7209,5.7
5991,7.2
2276,6.3
7132,5.9
5705,7.3
7998,0.0
5292,7.6
4304,6.4
7445,7.1
428,7.2
7068,5.1
6364,6.2
4215,6.6
426,6.2
2223,4.8
100,8.1
9244,5.8
